0,50,60.61009938399969,1505.4617043419992
0,100,136.25935538599956,328.51636313199947
0,250,142.96075838599938,170.85464582999933
0,500,142.96075838599938,170.85464582999933
5,50,180.9773531079993,1699.259115989998
5,100,643.3463858200014,848.1859660220014
5,250,671.071597324001,698.9654847680008
5,500,671.071597324001,698.9654847680008
10,50,854.9388997980013,2536.284651048002
10,100,1540.4965744880042,1770.1281188900043
10,250,1572.342194118,1600.2360815619998
10,500,1572.342194118,1600.2360815619998
15,50,1811.3304920119992,3731.5715881160027
15,100,2705.8301428919985,2961.8690479879992
15,250,2795.3727599359995,2823.2666473799986
15,500,2795.3727599359995,2823.2666473799986
20,50,3058.8304920119995,5223.961588115999
20,100,3953.330142891997,4236.359047987999
20,250,4042.8727599359995,4070.7666473799995
20,500,4042.8727599359995,4070.7666473799995
25,50,4306.330492012003,6716.351588116002
25,100,5200.8301428919995,5510.849047988001
25,250,5290.372759936,5318.26664738
25,500,5290.372759936,5318.26664738
